key	P_MARINUS_ANE_004_05M	P_MARINUS_ANE_004_40M	P_MARINUS_ANE_150_05M	P_MARINUS_ANE_150_40M	P_MARINUS_ANE_151_05M	P_MARINUS_ANE_151_80M	P_MARINUS_ANE_152_05M	P_MARINUS_ANW_141_05M	P_MARINUS_ANW_142_05M	P_MARINUS_ANW_145_05M	P_MARINUS_ANW_146_05M	P_MARINUS_ANW_148_05M	P_MARINUS_ANW_149_05M	P_MARINUS_ASE_66_05M	P_MARINUS_ASE_66_30M	P_MARINUS_ASE_67_05M	P_MARINUS_ASE_68_05M	P_MARINUS_ASE_68_50M	P_MARINUS_ASE_70_05M	P_MARINUS_ASW_72_05M	P_MARINUS_ASW_72_100M	P_MARINUS_ASW_76_05M	P_MARINUS_ASW_78_05M	P_MARINUS_ASW_82_05M	P_MARINUS_ASW_82_40M	P_MARINUS_ION_36_05M	P_MARINUS_ION_36_17M	P_MARINUS_ION_38_05M	P_MARINUS_ION_38_25M	P_MARINUS_ION_39_25M	P_MARINUS_ION_41_05M	P_MARINUS_ION_41_60M	P_MARINUS_ION_42_05M	P_MARINUS_ION_42_80M	P_MARINUS_ION_45_05M	P_MARINUS_ION_48_05M	P_MARINUS_IOS_52_05M	P_MARINUS_IOS_52_75M	P_MARINUS_IOS_56_05M	P_MARINUS_IOS_57_05M	P_MARINUS_IOS_58_66M	P_MARINUS_IOS_62_05M	P_MARINUS_IOS_64_05M	P_MARINUS_IOS_64_65M	P_MARINUS_IOS_65_05M	P_MARINUS_IOS_65_30M	P_MARINUS_MED_18_05M	P_MARINUS_MED_18_60M	P_MARINUS_MED_23_05M	P_MARINUS_MED_25_05M	P_MARINUS_MED_25_50M	P_MARINUS_MED_30_05M	P_MARINUS_MED_30_70M	P_MARINUS_OSD_105	P_MARINUS_OSD_106	P_MARINUS_OSD_126	P_MARINUS_OSD_127	P_MARINUS_OSD_146	P_MARINUS_OSD_152	P_MARINUS_OSD_155	P_MARINUS_OSD_163	P_MARINUS_OSD_20	P_MARINUS_OSD_80	P_MARINUS_PON_132_05M	P_MARINUS_PON_133_05M	P_MARINUS_PON_133_45M	P_MARINUS_PON_137_05M	P_MARINUS_PON_137_40M	P_MARINUS_PON_138_05M	P_MARINUS_PON_138_60M	P_MARINUS_PON_140_05M	P_MARINUS_PSE_100_05M	P_MARINUS_PSE_100_50M	P_MARINUS_PSE_102_05M	P_MARINUS_PSE_102_40M	P_MARINUS_PSE_109_05M	P_MARINUS_PSE_109_30M	P_MARINUS_PSE_110_05M	P_MARINUS_PSE_110_50M	P_MARINUS_PSE_111_05M	P_MARINUS_PSE_111_90M	P_MARINUS_PSE_93_05M	P_MARINUS_PSE_93_35M	P_MARINUS_PSE_94_05M	P_MARINUS_PSE_96_05M	P_MARINUS_PSE_98_05M	P_MARINUS_PSE_99_05M	P_MARINUS_PSW_112_05M	P_MARINUS_PSW_122_05M	P_MARINUS_PSW_123_05M	P_MARINUS_PSW_124_05M	P_MARINUS_PSW_125_05M	P_MARINUS_PSW_128_05M	P_MARINUS_PSW_128_40M	P_MARINUS_RED_31_05M	P_MARINUS_RED_32_05M	P_MARINUS_RED_32_80M	P_MARINUS_RED_33_05M	P_MARINUS_RED_34_05M	P_MARINUS_RED_34_60M	P_MARINUS_SOC_84_05M	P_MARINUS_SOC_85_05M	P_MARINUS_SOC_85_90M
37323	0.388440860215	0.0	17.1518817204	25.0712365591	3.04569892473	0.275537634409	0.0	41.5846774194	120.641129032	0.0	16.3991935484	44.561827957	11.938172043	0.271505376344	1.05779569892	0.0	0.0	0.0	6.74462365591	309.884408602	14.0483870968	249.521505376	361.860215054	0.0	0.0	4.65053763441	3.74193548387	84.6653225806	108.725806452	148.84811828	445.329301075	87.127688172	301.072580645	102.090053763	561.50672043	599.908602151	64.0443548387	97.9946236559	341.391129032	198.052419355	227.373655914	205.036290323	449.143817204	102.309139785	27.939516129	22.7567204301	0.271505376344	0.270161290323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	422.366935484	0.0	0.0	46.6586021505	0.0	340.233870968	7.45698924731	129.924731183	0.0	0.543010752688	9.40053763441	6.06586021505	81.4650537634	9.61290322581	10.7405913978	3.91532258065	1.43817204301	1.08333333333	0.268817204301	0.0	0.0	264.283602151	457.669354839	396.659946237	598.700268817	0.0	0.0	0.271505376344	0.271505376344	8.48521505376	11.3024193548	503.055107527	431.217741935	16.3266129032	97.6169354839	55.2983870968	1.20698924731	0.0	0.0	0.0
37324	0.694158075601	0.0	24.6975945017	38.0103092784	8.72164948454	1.98969072165	0.0	59.5670103093	173.037800687	0.0	27.8865979381	48.9003436426	10.8109965636	0.0	0.0	0.0	0.0	0.0	15.8900343643	410.130584192	23.1890034364	378.687285223	559.408934708	0.0	0.0	4.02749140893	2.91065292096	112.680412371	144.817869416	220.697594502	604.996563574	31.1683848797	405.625429553	55.7422680412	716.109965636	952.487972509	107.986254296	197.958762887	435.711340206	279.240549828	291.233676976	272.226804124	607.336769759	151.06185567	37.3333333333	30.1821305842	0.0	0.347079037801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	620.773195876	0.347079037801	0.0	76.4570446735	0.0	507.982817869	2.06529209622	161.120274914	0.0	1.52577319588	15.147766323	6.74226804124	116.195876289	8.13745704467	21.3470790378	9.13745704467	0.0	1.24054982818	0.0	0.0	0.0	371.192439863	634.972508591	639.39862543	907.64604811	0.144329896907	0.0	0.0	0.0	19.8797250859	20.7869415808	642.711340206	557.426116838	21.3642611684	152.323024055	74.9553264605	1.3883161512	0.0	0.0	0.0
37325	1.00617283951	0.0	22.9588477366	29.8683127572	6.32304526749	1.71399176955	0.0	45.7654320988	125.434156379	0.0	22.7304526749	41.1543209877	11.866255144	0.0	0.0	0.0	0.0	0.0	10.3395061728	340.166666667	21.450617284	287.899176955	487.022633745	0.415637860082	0.0	1.04732510288	3.93209876543	111.12345679	124.637860082	180.5781893	492.475308642	21.7798353909	328.841563786	39.2283950617	616.372427984	728.553497942	91.0349794239	142.660493827	381.541152263	241.520576132	249.981481481	244.693415638	579.351851852	124.514403292	38.3806584362	26.1728395062	0.207818930041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	538.279835391	0.0	0.0	77.3950617284	0.0	452.833333333	1.34773662551	157.672839506	0.0	1.52057613169	10.9403292181	11.1275720165	92.0761316872	6.49382716049	18.9403292181	8.72222222222	0.0	2.33333333333	0.0	0.0	0.0	355.12962963	608.79218107	537.936213992	836.030864198	0.716049382716	0.0	0.415637860082	0.0	9.61522633745	20.7366255144	461.156378601	506.658436214	10.3148148148	108.732510288	67.8930041152	0.0	0.0	0.0	0.0
37326	0.448207171315	0.369189907039	12.4176626826	17.0066401062	5.28751660027	1.10292164675	0.0	22.7264276228	70.4030544489	0.114873837981	9.70849933599	26.379814077	6.77689243028	0.250996015936	0.143426294821	0.0	0.039176626826	0.0	5.45484727756	184.948207171	12.4003984064	143.851925631	228.044488712	0.13213811421	0.0	2.3572377158	3.97543160691	52.5351925631	61.9249667995	89.8499335989	249.193891102	41.2762284197	174.83997344	49.3778220452	300.960823373	377.421646746	49.7583001328	78.901062417	212.684594954	126.78685259	143.63877822	124.92563081	286.545816733	80.3054448871	16.3625498008	20.1958831341	0.192563081009	0.121513944223	0.0	0.0	0.0	0.138114209827	0.0338645418327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	271.646746348	0.0	0.0	36.7317397078	0.0	262.424966799	4.72642762284	73.2835325365	0.0	1.27224435591	6.0219123506	3.55511288181	52.9674634794	6.53784860558	10.9535192563	4.07901726428	0.201195219124	1.33598937583	0.0670650730412	0.0	0.401062416999	95.2144754316	238.796148738	245.476095618	448.75498008	0.159362549801	0.0	0.468791500664	0.0	6.89774236388	9.21381142098	320.326693227	273.835989376	12.9807436919	56.0511288181	25.1075697211	0.60026560425	0.0	0.0	0.0
37327	0.0663265306122	0.845238095238	6.10544217687	8.87414965986	0.649659863946	0.256802721088	0.0	8.03401360544	33.9829931973	0.0867346938776	5.23129251701	12.1904761905	4.13095238095	0.268707482993	0.0	0.0	0.0	0.0	0.583333333333	58.1105442177	4.70238095238	44.3129251701	84.5170068027	0.0	0.0	0.107142857143	0.797619047619	17.4778911565	21.9659863946	23.981292517	69.6020408163	6.08503401361	45.6207482993	9.21428571429	81.8860544218	113.217687075	16.9965986395	25.2040816327	67.6768707483	36.6173469388	40.3571428571	34.4081632653	91.0833333333	23.8571428571	7.27210884354	6.56972789116	0.0	0.0	0.0	0.0	0.171768707483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.6547619048	0.0	0.0	14.7721088435	0.0	111.578231293	0.404761904762	25.4778911565	0.0	0.687074829932	3.85034013605	0.646258503401	17.4115646259	3.93367346939	5.58163265306	2.29591836735	0.0	0.343537414966	0.0	0.0	0.0	34.2091836735	79.1717687075	109.721088435	144.348639456	0.171768707483	0.0	0.0	0.0986394557823	3.44727891156	2.99659863946	103.355442177	80.943877551	3.58673469388	19.6462585034	7.54761904762	0.0	0.0	0.0	0.0
37328	0.211076280042	1.04806687565	8.15151515152	8.92058516196	1.17032392894	0.94670846395	0.0	8.42528735632	41.4587251829	0.0	4.84221525601	14.2528735632	3.69278996865	0.225705329154	0.0	0.0	0.0	0.0	1.47648902821	101.503657262	4.58516196447	85.0971786834	122.513061651	0.211076280042	0.0	2.03970741902	1.75966562173	36.8672936259	45.1034482759	57.4409613375	170.777429467	10.5914315569	124.913270637	15.5914315569	236.098223615	265.866248694	24.9832810867	41.6206896552	137.312434692	73.9299895507	77.6959247649	65.7293625914	153.343782654	51.0909090909	9.710553814	10.3970741902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.910135841	0.0	0.0	19.2915360502	0.0	173.75862069	0.995820271682	43.8484848485	0.0	0.0	4.33646812957	2.04388714734	31.2675026123	1.84430512017	4.23928944619	2.10971786834	0.0	0.309299895507	0.0	0.0	0.0	25.5318704284	70.5579937304	153.482758621	183.404388715	0.104493207941	0.211076280042	0.0	0.211076280042	3.21003134796	4.20376175549	199.263322884	160.272727273	9.88192267503	34.8401253918	21.8756530825	0.0	0.0	0.0	0.0
37329	0.51269035533	0.0	3.24788494078	6.3358714044	1.4027072758	0.340947546531	0.0	16.9763113367	56.5160744501	0.0	7.50169204738	19.9120135364	2.25888324873	0.0	0.0	0.0	0.170050761421	0.308798646362	1.5820642978	114.27072758	5.73434856176	83.4365482234	97.6641285956	0.100676818951	0.0	1.18950930626	1.1192893401	33.8045685279	33.8214890017	52.9653130288	203.650592217	17.0397631134	150.324027073	26.3959390863	286.593062606	306.312182741	27.3502538071	35.2521150592	159.260575296	96.385786802	105.670896785	96.3604060914	190.894247039	68.3324873096	12.4703891709	11.7157360406	0.595600676819	0.34179357022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.571912014	0.0	0.0	15.6835871404	0.17089678511	152.558375635	1.23942470389	60.654822335	2.54060913706	0.730118443316	3.13028764805	0.527072758037	21.8460236887	2.30795262267	3.30541455161	1.53468697124	2.20981387479	0.481387478849	0.0	0.0	0.699661590525	19.70642978	54.9830795262	78.5042301184	145.968697124	1.19458544839	0.17089678511	1.02453468697	1.02453468697	3.41708967851	3.31133671743	272.066835871	188.947546531	10.3578680203	45.230964467	24.8544839255	0.440778341794	0.0	0.0	0.0
37330	1.37066315327	1.81335090031	17.8686868687	20.9297321036	2.93675889328	0.266139657444	0.0	39.2033377251	141.3219148	0.44356609574	18.7272727273	46.922705314	10.5867369346	0.296003513395	0.503732981994	0.0	0.0	0.0	8.05226174791	358.837066315	17.9068950373	281.84057971	344.938954765	0.0865173473869	0.0	3.94510320597	5.7729468599	92.9604743083	113.304347826	163.636363636	500.37637242	27.3429951691	382.563460694	42.8423364076	716.184453228	866.589371981	80.1392182697	114.47826087	401.446640316	235.833552921	271.127799736	241.713219148	556.11506368	169.225296443	36.5748792271	37.2617479139	0.407553798858	0.101888449715	0.0	0.0	0.0281071585419	0.0869565217391	0.545015371102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.477382521	0.0	0.0	48.7158541941	0.0	490.002635046	0.606060606061	148.065876153	0.0	0.335529205094	7.15942028986	7.29336846728	82.7839262187	7.1774264383	13.224418094	5.81906016689	0.279314888011	0.265700483092	0.0	0.0	0.0	151.229249012	305.048748353	297.806324111	516.422485727	0.0996925779534	0.0	0.0	0.179622310057	8.73078612209	7.50812472552	614.007465964	531.506807202	34.3276240668	115.833113746	60.2485726834	0.715415019763	0.0	0.0	0.0
37331	0.909009009009	0.372072072072	8.20900900901	11.8423423423	2.78198198198	0.227027027027	0.0	20.6252252252	90.0675675676	0.0	14.3315315315	29.0594594595	9.95405405405	0.0	0.194594594595	0.0	0.0	0.0	3.78918918919	203.345045045	8.67117117117	145.016216216	199.188288288	0.0	0.0	1.78648648649	3.7027027027	60.1441441441	70.1009009009	97.5243243243	314.431531532	17.8963963964	220.343243243	23.981981982	400.276576577	468.318918919	43.3657657658	60.2603603604	224.836936937	125.120720721	168.427027027	134.576576577	310.795495495	78.618018018	25.0540540541	19.7711711712	0.436936936937	0.154954954955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	231.612612613	0.0	0.0	26.0216216216	0.0	297.445945946	0.477477477477	102.52972973	0.0	0.181981981982	5.00810810811	1.78288288288	47.6657657658	4.31531531532	5.49099099099	2.48288288288	0.0	0.181981981982	0.0	0.0	0.0	53.0936936937	133.786486486	157.196396396	237.818918919	0.0	0.0	0.0	0.0	4.17027027027	3.97657657658	314.047747748	294.563063063	14.0009009009	70.9855855856	36.2396396396	0.0513513513514	0.0	0.0	0.0
37332	2.57159624413	3.40727699531	31.7159624413	46.2112676056	7.05281690141	1.3544600939	0.0	110.052816901	390.929577465	1.029342723	53.8873239437	116.954225352	25.0129107981	2.1396713615	0.757042253521	0.0	0.0	0.0	8.73122065728	782.647887324	36.3521126761	566.14084507	725.658450704	0.0	0.0	10.6232394366	17.0223004695	255.83685446	304.039906103	483.624413146	1479.00821596	71.4507042254	1103.36267606	108.653755869	1981.95539906	2226.70892019	148.085680751	193.464788732	918.110328638	578.120892019	712.569248826	592.509389671	1300.71126761	397.907276995	87.0187793427	64.8579812207	0.118544600939	0.0	0.0	0.0	0.0	0.194835680751	1.40962441315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1053.55633803	0.0	0.0	84.1150234742	0.0	938.757042254	1.72769953052	410.261737089	0.0	0.294600938967	15.2734741784	8.49061032864	161.32629108	12.1208920188	19.8403755869	12.5164319249	0.0	0.285211267606	0.0	0.0469483568075	0.118544600939	273.258215962	475.098591549	587.692488263	762.269953052	0.0	0.0	0.0	0.0	5.8838028169	14.0985915493	1571.99647887	1308.27699531	56.4448356808	325.286384977	160.937793427	0.489436619718	0.0	0.0	0.0
37333	1.31073446328	2.25235404896	19.6854990584	27.2655367232	4.14312617702	0.760828625235	0.0	63.131826742	203.047080979	0.864406779661	31.1299435028	63.286252354	10.0903954802	0.327683615819	0.225988700565	0.0	0.0	0.0	7.04143126177	423.563088512	15.1958568738	284.668549906	390.284369115	0.380414312618	0.0	4.64030131827	9.17890772128	170.896421846	188.677966102	261.896421846	772.472693032	45.2806026365	574.56873823	71.6195856874	1025.87382298	1171.78531073	68.5725047081	105.56873823	461.787193974	316.72693032	378.327683616	379.331450094	751.075329567	190.207156309	55.7627118644	33.7288135593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	561.962335217	0.0	0.0	46.9491525424	0.0	487.736346516	1.0131826742	229.619585687	0.0	0.0263653483992	14.1280602637	12.7947269303	105.141242938	6.07532956685	11.2429378531	4.22410546139	0.0	0.0	0.0	0.0809792843691	0.0	88.4086629002	210.154425612	273.766478343	412.463276836	0.0	0.0	0.333333333333	0.0	8.92843691149	6.56497175141	751.461393597	696.762711864	27.6346516008	172.84180791	90.9548022599	0.214689265537	0.0	0.0	0.0
